,hoard_id,coin_group_id,start_year,end_year,revised_start,revised_end,ruler,revised_ruler,denomination,num_coins,mint,imported,created,updated
19752,1289,18683,,,260.0,402.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-09-07T11:14:42Z
19838,391,26592,,,,,Uncertain,Unknown,uncertain (gold),1.0,,2017-08-28 08:25:10.162802,2015-09-11T14:08:26Z,
19839,391,26593,,,,,Uncertain,Unknown,uncertain (silver),20.0,,2017-08-28 08:25:10.162802,2015-09-11T14:08:48Z,
19910,622,22108,330.0,335.0,330.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),9.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-06-02T09:30:49Z,
19911,622,22109,330.0,335.0,330.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-06-02T09:31:06Z,
19912,622,22110,330.0,335.0,330.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,Arelato,2017-08-28 08:25:10.162802,2015-06-02T09:31:30Z,
19913,622,22111,330.0,335.0,330.0,335.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-02T09:31:43Z,
19914,622,22112,335.0,341.0,335.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-06-02T09:32:19Z,
19915,622,22113,335.0,341.0,335.0,341.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-06-02T09:32:38Z,
19916,622,22114,341.0,348.0,341.0,348.0,House of Constantine,House of Constantine,AE 1-4 (UK find),1.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-06-02T09:32:59Z,
19942,602,22012,,,307.0,363.0,House of Constantine,House of Constantine,AE 1-4 (UK find),37.0,,2017-08-28 08:25:10.162802,2015-06-01T09:32:23Z,
19943,602,22013,,364.0,302.0,364.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),8.0,,2017-08-28 08:25:10.162802,2015-06-01T09:34:49Z,
19944,602,22014,,,350.0,353.0,Magnentius,Magnentius,AE 1-4 (UK find),1.0,Ambianum,2017-08-28 08:25:10.162802,2015-06-01T09:35:04Z,
19945,602,22015,,,360.0,363.0,Julian,Julian,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:35:19Z,
19946,602,22016,364.0,378.0,364.0,378.0,House of Valentinian,House of Valentinian,AE 1-4 (UK find),31.0,,2017-08-28 08:25:10.162802,2015-06-01T09:35:50Z,
19947,602,22017,,,375.0,392.0,Valentinian II,Valentinian II,AE 1-4 (UK find),24.0,,2017-08-28 08:25:10.162802,2015-06-01T09:36:19Z,
19948,602,22018,,,379.0,395.0,Theodosius I,Theodosius I,AE 1-4 (UK find),19.0,,2017-08-28 08:25:10.162802,2015-06-01T09:36:33Z,
19949,602,22019,,,383.0,388.0,Magnus Maximus,Magnus Maximus,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-06-01T09:36:52Z,
19950,602,22020,,,384.0,388.0,Flavius Victor,Flavius Victor,AE 1-4 (UK find),2.0,,2017-08-28 08:25:10.162802,2015-06-01T09:37:03Z,
19951,602,22021,,,384.0,388.0,Magnus Maximus or Flavius Victor,Magnus Maximus or Flavius Victor,AE 1-4 (UK find),5.0,,2017-08-28 08:25:10.162802,2015-06-01T09:37:15Z,
19952,602,22022,,,392.0,394.0,Eugenius,Eugenius,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:38:34Z,
19953,602,22023,,,395.0,408.0,Arcadius,Arcadius,AE 1-4 (UK find),96.0,,2017-08-28 08:25:10.162802,2015-06-01T09:38:52Z,
19954,602,22024,,,395.0,423.0,Honorius (emperor),Honorius,AE 1-4 (UK find),23.0,,2017-08-28 08:25:10.162802,2015-06-01T09:39:04Z,
19955,602,22025,,,378.0,408.0,House of Theodosius,House of Theodosius,AE 1-4 (UK find),340.0,,2017-08-28 08:25:10.162802,2015-06-01T09:39:23Z,
20042,369,24579,348.0,350.0,348.0,350.0,Constans,Constans I,AE 1-4 (UK find),1.0,Lugdunensium,2017-08-28 08:25:10.162802,2015-08-12T09:43:04Z,
20043,369,24580,350.0,351.0,350.0,351.0,Magnentius,Magnentius,AE 1-4 (UK find),2.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-08-12T09:43:32Z,
20044,668,23577,,,364.0,378.0,Valens,Valens,siliqua,,,2017-08-28 08:25:10.162802,2015-07-23T15:21:35Z,
20045,668,23578,,,383.0,388.0,Magnus Maximus,Magnus Maximus,siliqua,,,2017-08-28 08:25:10.162802,2015-07-23T15:21:45Z,
20046,668,23579,,,395.0,408.0,Arcadius,Arcadius,siliqua,,,2017-08-28 08:25:10.162802,2015-07-23T15:21:57Z,
20047,668,23580,,,395.0,423.0,Honorius (emperor),Honorius,siliqua,1.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-07-23T15:22:12Z,2015-07-23T15:22:29Z
20059,267,26223,,,,,Uncertain,Unknown,unidentified bronze coins,,,2017-08-28 08:25:10.162802,2015-09-08T13:01:36Z,
20094,1622,18542,,,,,Uncertain,Unknown,uncertain (silver),,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-07-20T14:07:04Z
20158,1481,25481,,,306.0,337.0,Constantine I,Constantine I,miliarensis,,,2017-08-28 08:25:10.162802,2015-08-26T11:55:50Z,
20159,1481,25482,,,383.0,388.0,Magnus Maximus,Magnus Maximus,miliarensis,,,2017-08-28 08:25:10.162802,2015-08-26T11:56:06Z,
20160,1481,25483,,,375.0,392.0,Valentinian II,Valentinian II,miliarensis,,,2017-08-28 08:25:10.162802,2015-08-26T11:56:17Z,
20161,1481,25484,,,360.0,363.0,Julian,Julian,siliqua,,,2017-08-28 08:25:10.162802,2015-08-26T11:56:29Z,
20162,1481,25485,,,364.0,378.0,Valens,Valens,siliqua,,,2017-08-28 08:25:10.162802,2015-08-26T11:56:42Z,
20163,1481,25486,,,367.0,383.0,Gratian,Gratian,siliqua,,,2017-08-28 08:25:10.162802,2015-08-26T11:56:52Z,
20191,1648,18561,348.0,361.0,348.0,361.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),164.0,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-07-21T10:30:09Z
20358,876,24950,324.0,325.0,324.0,325.0,House of Constantine,House of Constantine,AE 1-4 (UK find),3.0,Londinium,2017-08-28 08:25:10.162802,2015-08-17T10:45:50Z,
20363,876,24955,326.0,328.0,326.0,328.0,House of Constantine,House of Constantine,AE 1-4 (UK find),2.0,Colonia Augusta Treverorum,2017-08-28 08:25:10.162802,2015-08-17T10:51:42Z,2015-08-17T10:52:19Z
20391,2999,18751,330.0,348.0,330.0,348.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),6.0,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-09-11T11:15:39Z
20393,2999,18753,348.0,364.0,348.0,364.0,Unspecified ruler (contemporary copy),Unspecified ruler (contemporary copy),AE 1-4 (UK find),4.0,,2017-08-28 08:25:10.162802,2015-01-15T16:49:01Z,2015-09-11T11:15:27Z
20493,1803,953,,,260.0,402.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),,,2017-08-28 08:25:10.162802,2015-01-15T16:48:52Z,2015-06-09T11:49:49Z
20502,1690,26569,,,260.0,402.0,Uncertain (AD 260 - 402),Uncertain (AD 260 - 402),radiate or nummus (UK find),,,2017-08-28 08:25:10.162802,2015-09-11T11:08:49Z,
20512,601,21995,364.0,378.0,364.0,378.0,Valens,Valens,AE 1-4 (UK find),1.0,,2017-08-28 08:25:10.162802,2015-06-01T09:08:36Z,
