id,Name,Description,Latitude,Longitude,Geonamesid,AdminDivision,AdminDivisionNameLong,Region,RomanProvince,Rhineside
2600,"Bácsföldvár (SRB)","Bačk Gradište",45.5327100,20.0308200,NULL,,,NULL,NULL,NULL
2601,"Petrőc (SRB)","Bački Petrovac",45.3605600,19.5916700,NULL,,,NULL,NULL,NULL
2602,"Bucsány (SK)",Bučany,48.4158200,17.6972100,NULL,,,NULL,NULL,NULL
2603,"Omlód (SRB)",Omoljica,44.7589200,20.7340700,NULL,,,NULL,NULL,NULL
2604,"Kassa (SK)",Košice,48.7139500,21.2580800,NULL,,,NULL,NULL,NULL
2605,"Vágmedence (SK)","Madunicz, Madunice",48.4771700,17.7802600,NULL,,,NULL,NULL,NULL
2606,"Nagybecskerek (SRB)",Zrenjanin,45.3836100,20.3819400,NULL,,,NULL,NULL,NULL
2607,"Nagysink (RO)",Cincu,45.9166700,24.8000000,NULL,,,NULL,NULL,NULL
2608,"Nagyszeben (RO)",Sibiu,45.8000000,24.1500000,NULL,,,NULL,NULL,NULL
2609,Nyírbátor,,47.8333300,22.1333300,NULL,HU_16_1484,Nyírbátor,NULL,NULL,NULL
2610,"Szamosújvár (RO)",Gherla,47.0333300,23.9166700,NULL,,,NULL,NULL,NULL
2611,Tokaj,,48.1171700,21.4092200,NULL,HU_04_1830,Tokaj,NULL,NULL,NULL
2612,"Denta (RO)",,45.3538900,21.2491700,NULL,,,NULL,NULL,NULL
2613,"Tusnád (RO)",Tusnad,46.2000000,25.9000000,NULL,,,NULL,NULL,NULL
2614,"Zilah (RO)",Zalau,47.2000000,23.0500000,NULL,,,NULL,NULL,NULL
2615,Apátfalva,,46.1666700,20.5833300,NULL,HU_06_1425,Apátfalva,NULL,NULL,NULL
2616,Őrbottyán,"A mai Őrbottyán 1970. július 1-jén jött létre Őrszentmiklós és Vácbottyán egyesítésével.",47.6871100,19.2823900,NULL,HU_14_854,Őrbottyán,NULL,NULL,NULL
2617,Óföldeák,,46.3000000,20.4500000,NULL,HU_06_775,Óföldeák,NULL,NULL,NULL
2618,Egerbakta,,47.9333300,20.3000000,NULL,HU_10_1282,Egerbakta,NULL,NULL,NULL
2619,Kunpeszér,,47.0588700,19.2760700,NULL,HU_01_3191,Kunpeszér,NULL,NULL,NULL
2620,Szalkszentmárton,,46.9756500,19.0117800,NULL,HU_01_1994,Szalkszentmárton,NULL,NULL,NULL
2621,Balotaszállás,,46.3510200,19.5402700,NULL,HU_01_2593,Balotaszállás,NULL,NULL,NULL
2622,Szabadszállás,,46.8757500,19.2232400,NULL,HU_01_2506,Szabadszállás,NULL,NULL,NULL
2623,Elek,,46.5333300,21.2500000,NULL,HU_03_3295,Elek,NULL,NULL,NULL
2624,Gyula,,46.6500000,21.2833300,NULL,HU_03_503,Gyula,NULL,NULL,NULL
2625,Sarkad,,46.7500000,21.3833300,NULL,HU_03_2856,Sarkad,NULL,NULL,NULL
2626,Battonya,,46.2833300,21.0166700,NULL,HU_03_1810,Battonya,NULL,NULL,NULL
2627,Szikáncs,,46.3500000,20.4333300,NULL,HU_06_831,Hódmezővásárhely,NULL,NULL,NULL
2628,Kistelek,,46.4725000,19.9797200,NULL,HU_06_3102,Kistelek,NULL,NULL,NULL
2629,Kiskunhalas,,46.4340200,19.4847900,NULL,HU_01_3243,Kiskunhalas,NULL,NULL,NULL
2630,Imrehegy,,46.4774400,19.3122300,NULL,HU_01_809,Imrehegy,NULL,NULL,NULL
2631,Csólyospálos,,46.4184200,19.8395400,NULL,HU_01_1202,Csólyospálos,NULL,NULL,NULL
2632,Kalocsa,,46.5298100,18.9728300,NULL,HU_01_644,Kalocsa,NULL,NULL,NULL
2633,Ecseg,,47.8981000,19.6060900,NULL,HU_13_425,Ecseg,NULL,NULL,NULL
2634,Abasár,,47.7970500,20.0032400,NULL,HU_10_2455,Abasár,NULL,NULL,NULL
2635,Rakamaz,,48.1237200,21.4642900,NULL,HU_16_1473,Rakamaz,NULL,NULL,NULL
2636,Sajóörös,,47.9500000,21.0333300,NULL,HU_04_812,Sajóörös,NULL,NULL,NULL
