id	FindSpot	Place	AdminDivision	Material	Mint	Mint2	Period	Denomination	Denomination2	FindCategory	CoinImage	CoinImage2	DateFrom	DateTo	DateWritten	MintMark	Countermark	Weight	DieAxis	Status	CoinType	Coin_Quantity	ObverseDescription	ReverseDescription	ObverseLegend	ReverseLegend																																																																																																																																																
157	3851	2313	HU_14_2493	NULL	NULL	NULL	NULL	56	NULL	NULL	NULL	NULL	336	342				1.02	9	NULL	10	1																																																																																																																																																				
158	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.48	1	NULL	13	1																																																																																																																																																				
159	3851	2313	HU_14_2493	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				1.55	12	NULL	13	1																																																																																																																																																				
160	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367				1.94	6	NULL	19	1																																																																																																																																																				
161	3851	2313	HU_14_2493	NULL	58	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.26	1	NULL	13	1																																																																																																																																																				
162	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.12	1	NULL	13	1																																																																																																																																																				
163	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367		-/*R		1.95	12	NULL	13	1																																																																																																																																																				
164	3851	2313	HU_14_2493	NULL	NULL	NULL	NULL	54	NULL	NULL	NULL	NULL	364	392				1.89	NULL	NULL	13	1																																																																																																																																																				
165	3851	2313	HU_14_2493	NULL	58	NULL	NULL	53	NULL	NULL	NULL	NULL	348	350				4.38	1	NULL	6	1																																																																																																																																																				
166	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		F/R CA		2.28	11	NULL	13	1																																																																																																																																																				
167	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	364	367		G		1.94	1	NULL	13	1																																																																																																																																																				
168	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375		delta		2.44	12	NULL	19	1																																																																																																																																																				
169	3851	2313	HU_14_2493	NULL	69	NULL	NULL	54	NULL	NULL	NULL	NULL	367	375				2.66	6	NULL	13	1																																																																																																																																																				
